"","Team","X","Opponent","Result","Date"
"1","Air Force","","Nicholls State","W (72-0)","2009-09-05"
"2","Air Force","@","Minnesota","L (13-20)","2009-09-12"
"3","Air Force","@","New Mexico","W (37-13)","2009-09-19"
"4","Air Force","","San Diego State","W (26-14)","2009-09-26"
"5","Air Force","@","Navy","L (13-16)","2009-10-03"
"6","Air Force","","Texas Christian","L (17-20)","2009-10-10"
"7","Air Force","","Wyoming","W (10-0)","2009-10-17"
"8","Air Force","@","Utah","L (16-23)","2009-10-24"
"9","Air Force","@","Colorado State","W (34-16)","2009-10-31"
"10","Air Force","","Army","W (35-7)","2009-11-07"
"11","Air Force","","Nevada-Las Vegas","W (45-17)","2009-11-14"
"12","Air Force","@","Brigham Young","L (21-38)","2009-11-21"
"13","Air Force","N","Houston","W (47-20)","2009-12-31"
"14","Akron","@","Penn State","L (7-31)","2009-09-05"
"15","Akron","","Morgan State","W (41-0)","2009-09-12"
"16","Akron","","Indiana","L (21-38)","2009-09-19"
"17","Akron","@","Central Michigan","L (21-48)","2009-09-26"
"18","Akron","","Ohio","L (7-19)","2009-10-10"
"19","Akron","@","Buffalo","L (17-21)","2009-10-17"
"20","Akron","@","Syracuse","L (14-28)","2009-10-24"
"21","Akron","@","Northern Illinois","L (10-27)","2009-10-31"
"22","Akron","","Kent State","W (28-20)","2009-11-07"
"23","Akron","","Temple","L (17-56)","2009-11-13"
"24","Akron","@","Bowling Green State","L (20-36)","2009-11-20"
"25","Akron","","Eastern Michigan","W (28-21)","2009-11-27"
"26","Alabama-Birmingham","","Rice","W (44-24)","2009-09-05"
"27","Alabama-Birmingham","","Southern Methodist","L (33-35)","2009-09-12"
"28","Alabama-Birmingham","@","Troy","L (14-27)","2009-09-19"
"29","Alabama-Birmingham","@","Texas A&M","L (19-56)","2009-09-26"
"30","Alabama-Birmingham","","Southern Mississippi","W (30-17)","2009-10-01"
"31","Alabama-Birmingham","@","Mississippi","L (13-48)","2009-10-17"
"32","Alabama-Birmingham","@","Marshall","L (7-27)","2009-10-24"
"33","Alabama-Birmingham","@","Texas-El Paso","W (38-33)","2009-10-31"
"34","Alabama-Birmingham","","Florida Atlantic","W (56-29)","2009-11-07"
"35","Alabama-Birmingham","@","Memphis","W (31-21)","2009-11-14"
"36","Alabama-Birmingham","@","East Carolina","L (21-37)","2009-11-21"
"37","Alabama-Birmingham","","Central Florida","L (27-34)","2009-11-28"
"38","Alabama","N","Virginia Tech","W (34-24)","2009-09-05"
"39","Alabama","","Florida International","W (40-14)","2009-09-12"
"40","Alabama","","North Texas","W (53-7)","2009-09-19"
"41","Alabama","","Arkansas","W (35-7)","2009-09-26"
"42","Alabama","@","Kentucky","W (38-20)","2009-10-03"
"43","Alabama","@","Mississippi","W (22-3)","2009-10-10"
"44","Alabama","","South Carolina","W (20-6)","2009-10-17"
"45","Alabama","","Tennessee","W (12-10)","2009-10-24"
"46","Alabama","","Louisiana State","W (24-15)","2009-11-07"
"47","Alabama","@","Mississippi State","W (31-3)","2009-11-14"
"48","Alabama","","Chattanooga","W (45-0)","2009-11-21"
"49","Alabama","@","Auburn","W (26-21)","2009-11-27"
"50","Alabama","N","Florida","W (32-13)","2009-12-05"
"51","Alabama","N","Texas","W (37-21)","2010-01-07"
"52","Arizona State","","Idaho State","W (50-3)","2009-09-05"
"53","Arizona State","","Louisiana-Monroe","W (38-14)","2009-09-19"
"54","Arizona State","@","Georgia","L (17-20)","2009-09-26"
"55","Arizona State","","Oregon State","L (17-28)","2009-10-03"
"56","Arizona State","@","Washington State","W (27-14)","2009-10-10"
"57","Arizona State","","Washington","W (24-17)","2009-10-17"
"58","Arizona State","@","Stanford","L (14-33)","2009-10-24"
"59","Arizona State","","California","L (21-23)","2009-10-31"
"60","Arizona State","","Southern California","L (9-14)","2009-11-07"
"61","Arizona State","@","Oregon","L (21-44)","2009-11-14"
"62","Arizona State","@","UCLA","L (13-23)","2009-11-21"
"63","Arizona State","","Arizona","L (17-20)","2009-11-28"
"64","Arizona","","Central Michigan","W (19-6)","2009-09-05"
"65","Arizona","","Northern Arizona","W (34-17)","2009-09-12"
"66","Arizona","@","Iowa","L (17-27)","2009-09-19"
"67","Arizona","@","Oregon State","W (37-32)","2009-09-26"
"68","Arizona","@","Washington","L (33-36)","2009-10-10"
"69","Arizona","","Stanford","W (43-38)","2009-10-17"
"70","Arizona","","UCLA","W (27-13)","2009-10-24"
"71","Arizona","","Washington State","W (48-7)","2009-11-07"
"72","Arizona","@","California","L (16-24)","2009-11-14"
"73","Arizona","","Oregon","L (41-44)","2009-11-21"
"75","Arizona","@","Southern California","W (21-17)","2009-12-05"
"76","Arizona","N","Nebraska","L (0-33)","2009-12-30"
"110","Arkansas State","","Mississippi Valley State","W (61-0)","2009-09-05"
